Company,Sector,PE,PB,ROE_12Y_Avg,EPS_Growth_5Y_CAGR,EPS_Growth_3Y_CAGR,EPS_Growth_1Y,Expected_3Y_Fwd_CAGR,Payout_Ratio,Div_Yield,Mkt_Cap_Cr,PEG
Pidilite Industries,Adhesives/Chemicals,64.7,14.75,24.0,18.0,15.0,10.0,16.0,52.0,0.7,170000,4.04375
Bosch,Auto Ancillary,38.0,5.5,16.0,12.0,15.0,10.0,14.0,35.0,0.8,95000,2.7142857142857144
Mahindra & Mahindra,Automobiles,28.0,5.8,16.0,22.0,30.0,18.0,15.0,25.0,0.9,380000,1.8666666666666667
Hero MotoCorp,Automobiles,23.0,5.5,28.0,8.0,12.0,18.0,12.0,60.0,2.8,110000,1.9166666666666667
Bajaj Auto,Automobiles,26.1,7.23,22.0,16.0,20.0,15.0,14.0,55.0,2.0,290000,1.8642857142857143
HDFC Bank,Banking,22.0,3.2,17.0,18.0,15.0,12.0,14.0,24.0,1.2,1450000,1.5714285714285714
State Bank of India,Banking,8.5,1.6,15.0,22.0,18.0,10.0,12.0,22.0,1.8,720000,0.7083333333333334
Kotak Mahindra Bank,Banking,20.0,2.8,15.5,15.0,18.0,14.0,15.0,18.0,0.5,420000,1.3333333333333333
ICICI Bank,Banking,18.5,3.5,15.5,28.0,22.0,15.0,14.0,20.0,0.9,1050000,1.3214285714285714
ABB India,Capital Goods,65.0,18.0,16.0,35.0,40.0,25.0,22.0,32.0,0.35,150000,2.9545454545454546
Cummins India,Capital Goods,35.0,8.5,20.0,15.0,22.0,18.0,16.0,50.0,1.5,85000,2.1875
Havells India,Capital Goods,56.0,11.0,22.0,15.0,14.0,12.0,18.0,48.0,0.83,105000,3.111111111111111
Larsen & Toubro,Capital Goods,9.5,2.8,16.0,14.0,16.0,12.0,15.0,30.0,0.99,530000,0.6333333333333333
Titan Company,Consumer Durables,73.2,23.7,25.0,22.0,25.0,18.0,20.0,28.0,0.37,320000,3.66
Bharat Electronics,Defence/Electronics,54.5,14.0,18.0,20.0,25.0,28.0,20.0,35.0,0.6,210000,2.725
Britannia Industries,FMCG,52.0,28.0,35.0,14.0,12.0,10.0,14.0,60.0,1.1,130000,3.7142857142857144
Hindustan Unilever,FMCG,32.9,10.15,72.0,11.0,8.0,4.5,10.0,90.0,2.1,580000,3.29
Colgate-Palmolive India,FMCG,43.4,22.0,55.0,10.0,9.0,7.0,11.0,75.0,1.8,70000,3.9454545454545453
Marico,FMCG,42.0,15.5,35.0,12.0,11.0,9.0,13.0,72.0,1.5,92000,3.230769230769231
Dabur India,FMCG,47.4,10.5,25.0,8.0,6.5,5.0,12.0,58.0,1.2,100000,3.9499999999999997
Nestle India,FMCG,76.5,51.8,95.0,14.0,12.0,8.5,13.0,82.0,1.5,270000,5.884615384615385
ITC,FMCG/Conglomerate,17.2,4.89,24.0,12.0,13.0,7.5,10.0,74.5,4.98,560000,1.72
CRISIL,Financial Services,42.0,12.0,32.0,14.0,16.0,12.0,14.0,65.0,1.5,40000,3.0
TCS,IT Services,16.2,7.35,42.0,10.5,7.8,5.2,9.0,77.5,4.99,750000,1.7999999999999998
Wipro,IT Services,19.0,3.1,17.5,6.5,4.0,3.5,8.0,55.0,1.8,290000,2.375
HCL Technologies,IT Services,18.5,5.2,24.0,13.0,10.5,8.0,11.0,62.0,3.5,500000,1.6818181818181819
Infosys,IT Services,15.5,4.89,28.0,11.2,8.5,6.0,10.0,68.5,4.22,640000,1.55
HDFC Life Insurance,Insurance,70.0,8.0,18.0,15.0,12.0,14.0,16.0,30.0,0.4,160000,4.375
Castrol India,Lubricants,22.0,12.0,45.0,8.0,10.0,6.0,8.0,80.0,3.5,22000,2.75
GAIL India,Oil & Gas,11.0,1.4,15.0,10.0,12.0,8.0,10.0,35.0,2.5,140000,1.1
Indian Oil Corp,Oil & Gas,9.0,1.0,15.0,5.0,8.0,-5.0,7.0,45.0,8.0,210000,1.2857142857142858
Asian Paints,Paints,59.7,12.3,28.0,10.0,4.0,-8.0,14.0,66.0,0.95,230000,4.264285714285714
Sun Pharma,Pharma,32.0,6.5,16.0,18.0,20.0,15.0,14.0,22.0,0.7,440000,2.2857142857142856
Cipla,Pharma,22.0,4.2,15.5,15.0,18.0,12.0,13.0,25.0,0.8,125000,1.6923076923076923
Power Grid Corp,Power/Utilities,12.0,2.2,18.0,10.0,12.0,8.0,10.0,55.0,3.8,290000,1.2
