signal_date,close,3m,6m,1y,3y,5y
1991-04-26,379.02,0.5,1.4,7.9,18.1,70.2
1995-08-25,560.1,7.1,17.7,19.1,93.0,166.3
1997-09-19,950.51,-0.4,15.6,7.3,54.2,-6.4
1999-05-21,1330.29,0.5,6.9,5.8,-16.8,-17.6
2003-08-15,990.67,6.0,15.7,7.5,27.9,30.9
2007-07-06,1530.44,1.8,-7.8,-17.5,-33.2,-11.0
2011-04-01,1332.41,0.5,-15.1,5.7,39.4,52.8
2012-04-27,1403.36,-1.2,0.6,12.7,50.9,67.4
2013-04-05,1553.28,5.1,8.8,20.1,33.4,70.0
2017-02-03,2297.42,4.4,7.8,20.2,40.4,92.9
2017-09-22,2502.22,7.2,3.4,17.1,32.7,54.8
2019-10-11,2970.27,9.9,-6.1,17.1,22.5,
2021-06-18,4166.45,6.4,10.9,-11.8,,
