stock,ret_12_16,ret_16_20,ret_12yr,cagr_12_16,cagr_16_20,cagr_12yr,beat_12_16,beat_16_20,consistent_beater,reversal
ABB,2.5,1.7,16,25.743342968293547,14.185834543542652,25.99210498948732,True,False,False,True
ACC,1.6,1.4,8,12.468265038069815,8.775730593727715,18.920711500272102,False,False,False,False
Adani Enterprises,1.8,2.5,17,15.829218528826905,25.743342968293547,26.630234206233272,True,True,True,False
Ambuja Cements,1.5,1.4,6,10.668191970032147,8.775730593727715,16.10366723739942,False,False,False,False
Ashok Leyland,3.0,1.4,10,31.60740129524924,8.775730593727715,21.152765862858836,True,False,False,True
Asian Paints,2.1,2.0,15,20.380134350271597,18.920711500272102,25.31631188616348,True,True,True,False
Bajaj Auto,1.9,1.6,8,17.405488594401852,12.468265038069815,18.920711500272102,True,False,False,True
Bharat Electronics,3.8,2.0,30,39.61944237683348,18.920711500272102,32.76800756460929,True,True,True,False
Bharat Forge,2.8,1.7,13,29.35687276168015,14.185834543542652,23.830781190154315,True,False,False,True
Blue Star,2.3,2.2,22,23.149303238398787,21.788328563090676,29.38042003096868,True,True,True,False
Bosch,2.5,1.7,13,25.743342968293547,14.185834543542652,23.830781190154315,True,False,False,True
Britannia,1.4,1.8,3,8.775730593727715,15.829218528826905,9.587269113524432,False,True,False,True
Cipla,1.5,1.4,4,10.668191970032147,8.775730593727715,12.246204830937302,False,False,False,False
Colgate-Palmolive,1.5,1.5,6,10.668191970032147,10.668191970032147,16.10366723739942,False,False,False,False
Container Corpn,2.1,1.7,17,20.380134350271597,14.185834543542652,26.630234206233272,True,False,False,True
CRISIL,2.4,1.9,16,24.46659545769567,17.405488594401852,25.99210498948732,True,True,True,False
Cummins India,2.1,1.5,9,20.380134350271597,10.668191970032147,20.093695517600274,True,False,False,True
Dabur India,1.7,1.6,7,14.185834543542652,12.468265038069815,17.60474285795146,True,False,False,True
Dewan Housing (DHFL),4.2,0.08,12,43.15691227432645,-46.81704103055011,23.00755055779713,True,False,False,True
Exide Inds,2.6,2.0,25,26.982343247386552,18.920711500272102,30.76604860118306,True,True,True,False
Federal Bank,3.2,1.8,32,33.748060995284405,15.829218528826905,33.48398541700344,True,True,True,False
GAIL India,2.2,1.7,14,21.788328563090676,14.185834543542652,24.59788477961449,True,False,False,True
GE Shipping,2.6,1.9,20,26.982343247386552,17.405488594401852,28.35688421125162,True,True,True,False
Grasim Inds,1.8,1.7,9,15.829218528826905,14.185834543542652,20.093695517600274,True,False,False,True
GSK Consumer,1.7,1.4,5,14.185834543542652,8.775730593727715,14.352983608292025,True,False,False,True
GSK Pharma,1.5,1.3,4,10.668191970032147,6.778997237244089,12.246204830937302,False,False,False,False
Havells India,3.8,3.0,51,39.61944237683348,31.60740129524924,38.77061553867114,True,True,True,False
HDFC,2.4,2.1,19,24.46659545769567,20.380134350271597,27.8094011827962,True,True,True,False
Hero MotoCorp,2.3,1.5,10,23.149303238398787,10.668191970032147,21.152765862858836,True,False,False,True
HUL,1.3,2.0,2,6.778997237244089,18.920711500272102,5.946309435929531,False,True,False,True
Hindalco,1.2,1.5,4,4.663513939210562,10.668191970032147,12.246204830937302,False,False,False,False
Infosys,1.4,1.5,3,8.775730593727715,10.668191970032147,9.587269113524432,False,False,False,False
IOC,1.9,1.5,6,17.405488594401852,10.668191970032147,16.10366723739942,True,False,False,True
Ipca Labs,2.8,1.8,21,29.35687276168015,15.829218528826905,28.87982604601167,True,True,True,False
ITC,1.9,1.6,8,17.405488594401852,12.468265038069815,18.920711500272102,True,False,False,True
L&T,2.7,2.0,24,28.186101918870232,18.920711500272102,30.3219601435212,True,True,True,False
LIC Housing Finance,3.6,1.6,37,37.744930799685974,12.468265038069815,35.10875031527985,True,False,False,True
M&M,2.1,1.5,9,20.380134350271597,10.668191970032147,20.093695517600274,True,False,False,True
Motherson Sumi,6.5,2.5,63,59.67184337873701,25.743342968293547,41.235881802084975,True,True,True,False
Nestle India,1.7,1.9,9,14.185834543542652,17.405488594401852,20.093695517600274,True,True,True,False
Pfizer,1.4,1.3,3,8.775730593727715,6.778997237244089,9.587269113524432,False,False,False,False
Pidilite,2.2,1.8,9,21.788328563090676,15.829218528826905,20.093695517600274,True,True,True,False
Reliance,1.3,2.8,9,6.778997237244089,29.35687276168015,20.093695517600274,False,True,False,True
Sesa Goa (Vedanta),2.0,3.5,185,18.920711500272102,36.778239986738036,54.500887101400174,True,True,True,False
SBI,2.6,1.4,15,26.982343247386552,8.775730593727715,25.31631188616348,True,False,False,True
Tata Steel,1.4,1.9,10,8.775730593727715,17.405488594401852,21.152765862858836,False,True,False,True
Titan,2.3,3.2,44,23.149303238398787,33.748060995284405,37.073780155515436,True,True,True,False
Wipro,1.2,1.1,1,4.663513939210562,2.411368908444511,0.0,False,False,False,False
